Row No.,Housing Delivery Agency,Project Name:,Phase/ Bldg/Address/B+L,Total Units,100% Affordable Units,PTS BLDG Description+Additional Land Use Description,Permit Type,Building Permit No.,DBI Arrival/ Intake Date,Target Permit Issuance Date,Project Permit Status,Timing/ Priority Context,Planning,DBI,SFFD,Public Works,SFPUC,MOD,Housing Delivery Agency 1
139,OCII,HPSY-I,"HPS1 Block 48 Bldg F

889 LaSalle Ave",40,6,"PHASE 2A, BUILDING# F. TO ERECT 4 STORIES, 1 BASEMENT, 40 UNITS RESIDENTIAL BUILDING","Addenda #1:
Foundation and Structural",201602179815,2017-05-12T00:00:00.000,-,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
140,OCII,HPSY-I,"HPS1 Block 48 Bldg F

889 LaSalle Ave",-,-,"PHASE 2A, BUILDING# F. TO ERECT 4 STORIES, 1 BASEMENT, 40 UNITS RESIDENTIAL BUILDING","Addenda #2:
Architectural & MEP",201602179815,2017-05-12T00:00:00.000,2018-02-12T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
141,OCII,HPSY-I,"HPS1 Block 48 Bldg B

899 LaSalle Ave",40,6,PHASE II-A BUILDING B. ERECT 4 STORIES OF 44 RESIDENTIAL UNITS,"Addenda #1:
Foundation and Structural",201602129567,2017-07-21T00:00:00.000,-,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
142,OCII,HPSY-I,"HPS1 Block 48 Bldg B

899 LaSalle Ave",-,-,PHASE II-A BUILDING B. ERECT 4 STORIES OF 44 RESIDENTIAL UNITS,"Addenda #2:
Architectural & MEP",201602129567,2017-07-24T00:00:00.000,2018-04-24T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
143,OCII,HPSY-I,"OCII CPN Block 10a

625 Gilman

5000/027",156,155,"ERECT A NEW AFFORDABLE HOUSING WITH 156 UNITS,GROUND FL RETAIL,MIXED-USE RESIDENTIAL,NO BASEMENT, 6 STORY BUILDING. TYPE 1A/3A. (R-2,M) **COMPLY W/ MAHER 155-13**",Site Permit,201804257356,2018-06-07T00:00:00.000,2018-11-07T00:00:00.000,Site Permit review in advance of Horizontal,"Construction start is delayed due to delay of adjacent CP-02 site (what was going to be the ""regional retail center""); however, in order to use public funding most efficiently, need to fully wrap up Site Permit review now and then de-mobilize teams until ready to move forward",,"Review Started  6/7/18, comments issued 6/19/18.
Review completed 9/17/19.

Routed back to BLDG from SFFD on 12/23/19; Bldg signed off Health station on 1/13/2020; routed to PUC on 1/17/2020. No additional BLDG review required.","Review started 9/19/18, comments issued 9/29/18

Additional comments sent on 3/8/19; 
Developer/Architect recheck meeting occurred on 4/23/19. Architect emailed responses on 5/13/19.

SFFD 9/16/19 email confirmed ok to approve site permit per Housing Decision Memo

Signed off 12/23/19.",On hold until horizontal construction is complete.,"Comments issued by PUC on 1/22/2020, Developer preparing responses to  submit by 2/21/2020.",n/a,"Housing Decision Memo has been executed.
OCII to  circulate draft  letter for DBI & SFFD to sign memorializing finalized review & open issues per Housing Decision Memo on 2/20/2020 mtg."
144,OCII,HPSY-I,"OCII CPS Block 11a 

83 Harney Way

5000/036",176,175,"TO ERECT A 7 STORIES,NO BASEMENT,TYPE 1A/IIIA/VA- RESIDENTIAL AND MERCANTILE BUILDING.(A-3,B,R-2,M)",Site Permit,201804136325,2018-04-13T00:00:00.000,2018-09-13T00:00:00.000,Site Permit review in advance of Horizontal,"Construction start is delayed due to delay of adjacent CP-02 site (what was going to be the ""regional retail center""); however, in order to use public funding most efficiently, need to fully wrap up Site Permit review now and then de-mobilize teams until ready to move forward",,"Developer/Architect met with DBI in Dec 2018 & Feb 2019. Developer prepared a response to one final open item - held meeting to review on 5/16/19. DBI item is resolved, will approve after open issues with SFFD are resolved.",Developer/Architect has submitted responses and have been in communication with plan checker to set up a meeting.  Meeting held on 1/16/19. SFFD issued new comments after referring the project to the newly formed Large Community Projects Group within SFFD. Developer/Architect received comments on 4/18/19. Meeting scheduled for 7/18/19.,On hold until horizontal construction is complete.,,n/a,"Housing Decision Memo has been executed.
OCII to  circulate draft  letter for DBI & SFFD to sign memorializing finalized review & open issues per Housing Decision Memo on 2/20/2020 mtg."
145,OCII,HPSY-I,"HPS1 Block 48 Bldg F

889 LaSalle Ave",-,-,"PHASE 2A, BUILDING# F. TO ERECT 4 STORIES, 1 BASEMENT, 40 UNITS RESIDENTIAL BUILDING","Addenda #2:
Architectural & MEP",201602179815,2017-05-12T00:00:00.000,2018-02-12T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
146,OCII,HPSY-I,"HPS1 Block 48 Bldg B

899 LaSalle Ave",40,6,PHASE II-A BUILDING B. ERECT 4 STORIES OF 44 RESIDENTIAL UNITS,"Addenda #1:
Foundation and Structural",201602129567,2017-07-21T00:00:00.000,-,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
147,OCII,HPSY-I,"HPS1 Block 48 Bldg B

899 LaSalle Ave",-,-,PHASE II-A BUILDING B. ERECT 4 STORIES OF 44 RESIDENTIAL UNITS,"Addenda #2:
Architectural & MEP",201602129567,2017-07-24T00:00:00.000,2018-04-24T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
148,OCII,Candlestick Pt,"OCII CPN Block 10a

625 Gilman

5000/027",156,155,"ERECT A NEW AFFORDABLE HOUSING WITH 156 UNITS,GROUND FL RETAIL,MIXED-USE RESIDENTIAL,NO BASEMENT, 6 STORY BUILDING. TYPE 1A/3A. (R-2,M) **COMPLY W/ MAHER 155-13**",Site Permit,201804257356,2018-06-07T00:00:00.000,2018-11-07T00:00:00.000,Site Permit review in advance of Horizontal,"Construction start is delayed due to delay of adjacent CP-02 site (what was going to be the ""regional retail center""); however, in order to use public funding most efficiently, need to fully wrap up Site Permit review now and then de-mobilize teams until ready to move forward",,"Review Started  6/7/18, comments issued 6/19/18.
Review completed 9/17/19.

Routed back to BLDG from SFFD on 12/23/19; Bldg signed off Health station on 1/13/2020; routed to PUC on 1/17/2020. No additional BLDG review required.","Review started 9/19/18, comments issued 9/29/18

Additional comments sent on 3/8/19; 
Developer/Architect recheck meeting occurred on 4/23/19. Architect emailed responses on 5/13/19.

SFFD 9/16/19 email confirmed ok to approve site permit per Housing Decision Memo

Signed off 12/23/19.",On hold until horizontal construction is complete.,"Comments issued by PUC on 1/22/2020, Developer preparing responses to  submit by 2/21/2020.",n/a,"Housing Decision Memo has been executed.
OCII to  circulate draft  letter for DBI & SFFD to sign memorializing finalized review & open issues per Housing Decision Memo on 2/20/2020 mtg."
149,OCII,Candlestick Pt,"OCII CPS Block 11a 

83 Harney Way

5000/036",176,175,"TO ERECT A 7 STORIES,NO BASEMENT,TYPE 1A/IIIA/VA- RESIDENTIAL AND MERCANTILE BUILDING.(A-3,B,R-2,M)",Site Permit,201804136325,2018-04-13T00:00:00.000,2018-09-13T00:00:00.000,Site Permit review in advance of Horizontal,"Construction start is delayed due to delay of adjacent CP-02 site (what was going to be the ""regional retail center""); however, in order to use public funding most efficiently, need to fully wrap up Site Permit review now and then de-mobilize teams until ready to move forward",,"Developer/Architect met with DBI in Dec 2018 & Feb 2019. Developer prepared a response to one final open item - held meeting to review on 5/16/19. DBI item is resolved, will approve after open issues with SFFD are resolved.",Developer/Architect has submitted responses and have been in communication with plan checker to set up a meeting.  Meeting held on 1/16/19. SFFD issued new comments after referring the project to the newly formed Large Community Projects Group within SFFD. Developer/Architect received comments on 4/18/19. Meeting scheduled for 7/18/19.,On hold until horizontal construction is complete.,,n/a,"Housing Decision Memo has been executed.
OCII to  circulate draft  letter for DBI & SFFD to sign memorializing finalized review & open issues per Housing Decision Memo on 2/20/2020 mtg."
